Name,Team,Wk17,Pos,P Rk,Rank,ADP,Rookie,+/-,id
Rachaad White,TB,CAR,RB,RB14,62,62.5,,0.5,140a874a-e16b-4b51-9640-01797a14e4a1
Joe Mixon,HOU,BAL,RB,RB15,63,62.3,,-0.7,012a73f3-7fe2-427d-89d5-2ddc0fb366e6
Rome Odunze,CHI,SEA,WR,WR37,64,67.2,Rookie,3.2,144f1a02-d422-4d10-ba5e-349a5daae34b
Diontae Johnson,CAR,TB,WR,WR38,65,67.7,,2.7,b7b1f316-40a7-4784-a8d1-f972b0dd394f
Chris Godwin,TB,CAR,WR,WR39,66,61.3,,-4.7,19f1f476-acd6-4dbd-ac1c-7c4a920bf479
Kenneth Walker III,SEA,CHI,RB,RB16,67,64.4,,-2.6,03fcdf1b-3181-4dc9-9891-5f8db430037f
C.J. Stroud,HOU,BAL,QB,QB6,68,70.8,,2.8,d1f113bc-e984-499b-a386-2c38ef7a25d0
Ladd McConkey,LAC,NE,WR,WR40,69,75.3,Rookie,6.3,da9a62a7-26d6-4485-be96-cd693c639448
Brian Thomas,JAX,TEN,WR,WR41,70,75.6,Rookie,5.6,e596066b-2a14-4ac2-9b2c-84422febdf32
Keon Coleman,BUF,NYJ,WR,WR42,71,75.8,Rookie,4.8,6d7c0fe8-34ac-4c6c-a7ab-3aba41078fc0
Christian Watson,GB,MIN,WR,WR43,72,70.0,,-2,c404a688-5ff2-4ede-a1bd-1e52bd000052
