"Player","Team","Opponent","Position","DK Points","DKSalary","FD Points","FDSalary","DKSlateID","FDSlateID","Slate"
"Keilahn Harris","ATL","MIA","WR","3.1","5500","2.4","6000","28890823","92651-185639","Main"
"Josh Ali","ATL","MIA","WR","3.1","5500","2.4","6000","28890775","92651-87112","Main"
"Slade Bolden","ATL","MIA","WR","3.1","5500","2.4","6000","28890873","92651-90518","Main"
"Shedrick Jackson","CIN","GB","WR","3.1","5500","2.4","6000","28890899","92651-87668","Main"
"Malachi Carter","CIN","GB","WR","3.1","5500","2.4","6000","28890853","92651-86826","Main"
"Mac Hippenhammer","CIN","GB","WR","3.1","5500","2.4","6000","28890877","92651-86205","Main"
"Montrell Washington","DEN","ARI","WR","3.1","5500","2.2","6000","28890857","92651-95854","Main"
"Miles Boykin","PIT","TB","WR","3.1","5500","2.4","6000","28890763","92651-64827","Main"
"Desmond Ridder","ATL","MIA","QB","3.0","5500","2.6","6000","28890422","92651-86278","Main"
"J.J. Arcega-Whiteside","ATL","MIA","WR","3.0","5500","2.6","6000","28890799","92651-64907","Main"
"Kalil Pimpleton","NYG","DET","WR","3.0","5500","2.4","6000","28890863","92651-90487","Main"
"Gunner Olszewski","PIT","TB","WR","3.0","5500","2.1","6000","28890739","92651-104577","Main"
"Daniel Arias","ARI","DEN","WR","2.9","5500","2.3","6000","28890781","92651-87882","Main"
"Brian Cobbs","ARI","DEN","WR","2.9","5500","2.3","6000","28890805","92651-88313","Main"
"Jordan Love","GB","CIN","QB","2.9","5500","2.9","6000","28890425","92651-69017","Main"
"Hakeem Butler","PIT","TB","WR","2.9","5500","2.3","6000","28890885","92651-64175","Main"
"Cody White","PIT","TB","WR","2.9","5500","2.3","6000","28890787","92651-92890","Main"
"Brian Robinson","WAS","CLE","RB","2.9","5500","2.2","6000","28890473","92651-90562","Main"
"Derrick Gore","WAS","CLE","RB","2.9","5500","2.8","6000","28890585","92651-64575","Main"
"Marcus Kemp","WAS","CLE","WR","2.9","5500","2.7","6000","28890769","92651-45964","Main"
"Kaden Davis","ARI","DEN","WR","2.8","5500","2.3","6000","28890879","92651-170208","Main"
"Xavier Malone","ATL","MIA","WR","2.8","5500","2.2","6000","28890847","92651-185646","Main"
"Deshaun Watson","CLE","WAS","QB","2.8","5500","2.9","6000","28890420","92651-54879","Main"
"Nick Chubb","CLE","WAS","RB","2.8","5500","2.4","6000","28890461","92651-53562","Main"
"Jalen Wayne","CLE","WAS","WR","2.8","5500","2.2",,"28890911",,"Main"
"Samaje Perine","DEN","ARI","RB","2.8","5500","2.5","6000","28890495","92651-52451","Main"
"Taylor Grimes","DEN","ARI","WR","2.8","5500","2.2","6000","28890901","92651-185856","Main"
"Cedrick Wilson Jr.","MIA","ATL","WR","2.8","5500","2.2","6000","28890683","92651-69581","Main"
